Id,Area,COUNT,MIN,MAX,RANGE,MEAN,STD,SUM,volume,mean_depth,cat_area,dep2catR,Downstream,simu_depth,rain_inten,time_inund,rank,Shape_Leng,Shape_Area,Perimeter,Max_depth,depth_inde,MinBdAr,depConcav,LenLonAx,MBG_Width,MBG_Length,MBG_Orient,Circular,Compact,Elong
223,1463.00000031,1463,2328.54858398,2329.51147461,0.962890625,2329.01432503,0.29288591952,3407347.95752,727.33,0.49715,7823,0.187013,238,0.0929733,0.05,1.85947,503,212,1463,212,0.962891,0.079087,2092.48986821,-0.864662,51.6163,40.4353234762,50.6061717124,82.8749836513,0.409056,0.699167,1.25153
224,7610.00000158,7610,2315.14233398,2320.19555664,5.05322265625,2317.7888482,1.40022468736,17638373.1348,18315.1,2.40671,43134,0.176427,232,0.424609,0.05,8.49218,561,550,7610,550,5.05322,0.181981,16573.8578169,-1.26702,145.267,81.4656371837,138.954729232,139.873896422,0.316132,0.459157,1.70569
234,3283.00000068,3283,2335.73950195,2336.10668945,0.3671875,2335.95625882,0.07075843739,7668944.397710001,493.864,0.150431,20139,0.163017,401,0.0245228,0.05,0.490456,407,366,3283,366,0.367188,0.0201327,9052.00455993,-0.375876,107.356,49.7226992511,107.124286307,8.74616226256,0.307977,0.362682,2.15443
242,2654.00000055,2654,2296.26953125,2305.06420898,8.79467773438,2301.78489978,2.23941218625,6108937.12402,8703.29,3.27931,41264,0.0643176,195,0.210917,0.05,4.21834,542,248,2654,248,8.79468,0.536314,5194.89281639,-2.27167,81.3286,47,76,0,0.54226,0.510886,1.61702
243,392.000000079,392,2237.07519531,2237.83789062,0.7626953125,2237.45915129,0.20385399707,877083.987305,148.466,0.37874,148732,0.00263561,219,0.000998212,0.05,0.0199642,128,110,392,110,0.762695,0.12102,786.67837877,-3.75255,31.6485,21.5845805531,31.4549163839,130.601294646,0.407109,0.498298,1.45729
245,3096.00000065,3096,2319.79467773,2329.28320312,9.48852539062,2324.93890349,2.60553172005,7198010.845209999,13450,4.34432,132873,0.0233004,401,0.101224,0.05,2.02448,510,298,3096,298,9.48853,0.535733,5888.71308013,-2.86208,86.5895,52.8149897794,84.062997431,10.9228047198,0.438105,0.525752,1.59165
246,204.000000042,204,2306.69946289,2307.04223633,0.3427734375,2306.92580279,0.07975789739,470612.86377,23.7524,0.116433,11627,0.0175454,259,0.00204287,0.05,0.0408574,176,110,204,110,0.342773,0.0753948,1234.93522747,-2.15196,39.6531,8.89962511399,39.2529358898,115.463345062,0.211863,0.165191,4.41063
249,317.000000065,317,2300.91601562,2301.29174805,0.37573242188,2301.1533619,0.07785368393,729465.615723,43.8684,0.138386,3259,0.0972691,401,0.0134607,0.05,0.269214,350,148,317,148,0.375732,0.0662977,1713.44713439,-2.90852,46.7079,17.9044522888,45.4814247796,174.093858886,0.181864,0.185007,2.54023
255,257.000000053,257,2308.00024414,2308.3125,0.31225585938,2308.23334999,0.05594674401,593215.970947,20.3416,0.0791502,2222,0.115662,248,0.00915464,0.05,0.183093,301,182,257,182,0.312256,0.0611919,2212.36330008,-3.29961,53.0742,12.9466116841,52.7823399429,5.19442890776,0.097499,0.116165,4.07692
256,1223.00000025,1223,2312.87524414,2319.97973633,7.1044921875,2316.66637495,2.20011280362,2833282.97656,4052.24,3.31336,8499,0.143899,401,0.47679,0.05,9.5358,564,162,1223,162,7.10449,0.638219,1690.86722116,-3.47016,46.3991,36.3318985095,46.0148874062,24.4439547805,0.585607,0.723297,1.26651
257,231.000000049,231,2307.04614258,2307.57666016,0.53051757813,2307.41379405,0.10499012371,533012.586426,37.6221,0.162866,14545,0.0158817,259,0.0025866,0.05,0.051732,193,98,231,98,0.530518,0.109659,918.546863414,-2.64935,34.1984,13.7692307692,32.9999999999,112.619864948,0.302252,0.251484,2.39665
